sport,evento,nome_intero,medaglia
Tiro a Volo,Finale Skeet D,DIANA BACOSI,Argento
Tiro con l'arco,Finale 3-4 posto Individuale D,LUCILLA BOARI,Bronzo
Pesi,64 kg D Gruppo A,GIORGIA BORDIGNON,Argento
Karate,Kata - Finali 3-5 posto D,VIVIANA BOTTARO,Bronzo
Nuoto,Finale 200m farfalla U,FEDERICO BURDISSO,Bronzo
Karate,Kumite - Eliminazioni -75 kg U,LUIGI BUSÀ,Oro
Nuoto,Finale Staffetta 4x100m misti U,THOMAS CECCON,Bronzo
Judo,Finali 3-5 posto -63 kg D,MARIA CENTRACCHIO,Bronzo
Canottaggio,Due di coppia PL / D Finale A,FEDERICA CESARINI,Oro
Lotta,Libera - Ripescaggi 97 kg U,ABRAHAM CONYEDO RUANO,Bronzo
Taekwondo,Finale -58 kg U,VITO DELL'AQUILA,Oro
Canottaggio,Quattro senza / U Finale A,MARCO DI COSTANZO,Bronzo
Ginnastica,Artistica - Finale Corpo libero D,VANESSA FERRARI,Argento
Scherma,Finale 3-4 posto spada a squadre D,ROSSELLA FIAMINGO,Bronzo
Ciclismo,Pista - Finale 1-2 posto Team Pursuit U,FILIPPO GANNA,Oro
Scherma,Finale 1-2 posto Fioretto U,DANIELE GAROZZO,Argento
Judo,Finale Bronzo -52 kg D,ODETTE GIUFFRIDA,Bronzo
Atletica,100m U - Finale,LAMONT MARCELL JACOBS,Oro
Ciclismo,Starda - Corsa in linea D,ELISA LONGO BORGHINI,Bronzo
Nuoto,Finale 100m rana U,NICOLÒ MARTINENGHI,Bronzo
Nuoto,Finale 4x100m stile libero U,ALESSANDRO MIRESSI,Argento
Tiro con l'arco,Finale 1-2 posto Individuale U,MAURO NESPOLI,Argento
Canottaggio,Due di coppia PL / U Finale A,STEFANO OPPO,Bronzo
Atletica,20km Marcia D,ANTONELLA PALMISANO,Oro
Nuoto,Finale 800m stile libero U,GREGORIO PALTRINIERI,Argento
Nuoto di Fondo,10km U,GREGORIO PALTRINIERI,Bronzo
Pesi,81 kg U Gruppo A,ANTONINO PIZZOLATO,Bronzo
Nuoto,Finale 800m stile libero D,SIMONA QUADARELLA,Bronzo
Canoa,Finale K1 200m U,MANFREDI RIZZA,Argento
Scherma,Finale Sciabola U,LUIGI SAMELE,Argento
Scherma,Quarti Sciabola a squadre U,LUIGI SAMELE,Argento
Ginnastica,Ritmica - Finale All-Around Gruppi,MARTINA SANTANDREA,Bronzo
Atletica,20km marcia U - Finale,MASSIMO STANO,Oro
Atletica,Alto U - Finale,GIANMARCO TAMBERI,Oro
Pugilato,Semifinali 54-57 kg D,IRMA TESTA,Bronzo
Vela,Nacra 17 Foiling MX - Medal Race,RUGGERO TITA,Oro
Atletica,Staffetta 4x100m U - Finale,FILIPPO TORTU,Oro
Ciclismo,Pista - Omnium 4/4 gara a punti U,ELIA VIVIANI,Bronzo
Scherma,Finale 3-4 posto Fioretto a squadre D,ALICE VOLPI,Bronzo
Pesi,67 kg U Gruppo A Finale,MIRKO ZANNI,Bronzo
Canottaggio,Batterie Due di coppia D,GENNARO DI MAURO,Oro
